Location description: Anemona
ID: 22
Sensor: Noise
Datetime,dB
2015-07-30 01:36:10+01:00,56.5
2015-07-30 01:35:10+01:00,55.0
2015-07-30 01:34:10+01:00,55.3
2015-07-30 01:33:10+01:00,58.8
2015-07-30 01:32:10+01:00,55.0
2015-07-30 01:31:10+01:00,54.3
2015-07-30 01:30:10+01:00,55.1
2015-07-30 01:29:10+01:00,51.2
2015-07-30 01:28:10+01:00,57.8
2015-07-30 01:27:10+01:00,60.4
2015-07-30 01:26:10+01:00,56.6
2015-07-30 01:25:10+01:00,55.0
2015-07-30 01:24:10+01:00,55.1
2015-07-30 01:23:10+01:00,64.8
2015-07-30 01:22:10+01:00,65.5
2015-07-30 01:21:10+01:00,63.3
2015-07-30 01:20:10+01:00,64.0
2015-07-30 01:19:10+01:00,63.2
2015-07-30 01:18:10+01:00,60.6
2015-07-30 01:17:10+01:00,57.7
2015-07-30 01:16:10+01:00,55.0
2015-07-30 01:15:10+01:00,73.4
2015-07-30 01:14:10+01:00,69.1
2015-07-30 01:13:10+01:00,60.7
2015-07-30 01:12:10+01:00,68.9
2015-07-30 01:11:10+01:00,58.3
2015-07-30 01:10:10+01:00,59.2
2015-07-30 01:09:10+01:00,61.2
2015-07-30 01:08:10+01:00,62.5
2015-07-30 01:07:10+01:00,60.4
2015-07-30 01:06:10+01:00,59.2
2015-07-30 01:05:10+01:00,61.4
2015-07-30 01:04:10+01:00,63.1
2015-07-30 01:03:10+01:00,58.3
2015-07-30 01:02:10+01:00,56.1
2015-07-30 01:01:10+01:00,61.1
2015-07-30 01:00:10+01:00,65.4
2015-07-30 00:59:10+01:00,63.8
2015-07-30 00:58:10+01:00,55.4
2015-07-30 00:57:10+01:00,57.2
2015-07-30 00:56:10+01:00,62.2
2015-07-30 00:55:10+01:00,60.9
2015-07-30 00:54:10+01:00,57.2
2015-07-30 00:53:10+01:00,53.7
2015-07-30 00:52:10+01:00,62.1
2015-07-30 00:51:10+01:00,55.7
2015-07-30 00:50:10+01:00,62.6
2015-07-30 00:49:10+01:00,64.1
2015-07-30 00:48:10+01:00,67.9
2015-07-30 00:47:10+01:00,62.2
2015-07-30 00:46:10+01:00,60.7
2015-07-30 00:45:10+01:00,69.3
2015-07-30 00:44:10+01:00,57.2
2015-07-30 00:43:10+01:00,63.6
2015-07-30 00:42:10+01:00,66.3
2015-07-30 00:41:10+01:00,63.3
2015-07-30 00:40:10+01:00,66.9
2015-07-30 00:39:10+01:00,60.7
2015-07-30 00:38:10+01:00,64.2
2015-07-30 00:37:10+01:00,61.1
2015-07-30 00:36:10+01:00,62.2
2015-07-30 00:35:10+01:00,68.5
2015-07-30 00:34:10+01:00,64.0
2015-07-30 00:33:10+01:00,64.5
2015-07-30 00:32:10+01:00,67.3
2015-07-30 00:31:10+01:00,69.2
2015-07-30 00:30:10+01:00,68.1
2015-07-30 00:29:10+01:00,66.9
2015-07-30 00:28:10+01:00,73.5
2015-07-30 00:27:10+01:00,64.6
2015-07-30 00:26:10+01:00,65.0
2015-07-30 00:25:10+01:00,73.7
2015-07-30 00:24:10+01:00,69.1
2015-07-30 00:23:10+01:00,68.9
2015-07-30 00:22:10+01:00,62.0
2015-07-30 00:21:10+01:00,67.2
2015-07-30 00:20:10+01:00,65.6
2015-07-30 00:19:10+01:00,60.5
2015-07-30 00:18:10+01:00,63.7
2015-07-30 00:17:10+01:00,67.4
2015-07-30 00:16:10+01:00,57.0
2015-07-30 00:15:10+01:00,64.9
2015-07-30 00:14:10+01:00,62.2
2015-07-30 00:13:10+01:00,65.3
2015-07-30 00:12:10+01:00,57.7
2015-07-30 00:11:10+01:00,56.0
2015-07-30 00:10:10+01:00,62.7
2015-07-30 00:09:10+01:00,59.1
2015-07-30 00:08:10+01:00,61.6
2015-07-30 00:07:10+01:00,68.5
2015-07-30 00:06:10+01:00,58.5
2015-07-30 00:05:10+01:00,62.6
2015-07-30 00:04:10+01:00,65.8
2015-07-30 00:03:10+01:00,57.4
2015-07-30 00:02:10+01:00,55.7
2015-07-30 00:01:10+01:00,66.4
2015-07-30 00:00:10+01:00,64.4
2015-07-29 23:59:10+01:00,63.8
2015-07-29 23:58:10+01:00,65.6
2015-07-29 23:57:10+01:00,64.9
2015-07-29 23:56:10+01:00,63.9
2015-07-29 23:55:10+01:00,62.4
2015-07-29 23:54:10+01:00,56.6
2015-07-29 23:53:10+01:00,71.5
2015-07-29 23:52:10+01:00,64.4
2015-07-29 23:51:10+01:00,71.1
2015-07-29 23:50:10+01:00,61.0
2015-07-29 23:49:10+01:00,68.6
2015-07-29 23:48:10+01:00,61.1
2015-07-29 23:47:10+01:00,71.4
2015-07-29 23:46:10+01:00,67.3
2015-07-29 23:45:10+01:00,64.7
2015-07-29 23:44:10+01:00,60.8
2015-07-29 23:43:10+01:00,70.0
2015-07-29 23:42:10+01:00,66.4
2015-07-29 23:41:10+01:00,68.0
2015-07-29 23:40:10+01:00,74.6
2015-07-29 23:39:10+01:00,76.5
2015-07-29 23:38:10+01:00,64.8
2015-07-29 23:37:10+01:00,66.3
2015-07-29 23:36:10+01:00,63.4
2015-07-29 23:35:10+01:00,66.4
2015-07-29 23:34:10+01:00,59.6
2015-07-29 23:33:10+01:00,70.6
2015-07-29 23:32:10+01:00,65.4
2015-07-29 23:31:10+01:00,65.7
2015-07-29 23:30:10+01:00,62.6
2015-07-29 23:29:10+01:00,69.3
2015-07-29 23:28:10+01:00,68.6
2015-07-29 23:27:10+01:00,65.0
2015-07-29 23:26:10+01:00,63.8
2015-07-29 23:25:10+01:00,64.4
2015-07-29 23:24:10+01:00,60.8
2015-07-29 23:23:10+01:00,63.0
2015-07-29 23:22:10+01:00,66.5
2015-07-29 23:21:10+01:00,67.6
2015-07-29 23:20:10+01:00,72.3
2015-07-29 23:19:10+01:00,72.0
2015-07-29 23:18:10+01:00,69.0
2015-07-29 23:17:10+01:00,61.9
2015-07-29 23:16:10+01:00,67.6
2015-07-29 23:15:10+01:00,63.9
2015-07-29 23:14:10+01:00,63.3
2015-07-29 23:13:10+01:00,70.9
2015-07-29 23:12:10+01:00,62.4
2015-07-29 23:11:10+01:00,57.7
2015-07-29 23:10:10+01:00,60.2
2015-07-29 23:09:10+01:00,63.7
2015-07-29 23:08:10+01:00,66.3
2015-07-29 23:07:10+01:00,65.3
2015-07-29 23:06:10+01:00,69.8
2015-07-29 23:05:10+01:00,64.8
2015-07-29 23:04:10+01:00,63.7
2015-07-29 23:03:10+01:00,69.8
2015-07-29 23:02:10+01:00,66.2
2015-07-29 23:01:10+01:00,66.0
2015-07-29 23:00:10+01:00,64.7
2015-07-29 22:59:10+01:00,69.7
2015-07-29 22:58:10+01:00,69.6
2015-07-29 22:57:10+01:00,68.3
2015-07-29 22:56:10+01:00,70.9
2015-07-29 22:55:10+01:00,61.6
2015-07-29 22:54:10+01:00,68.4
2015-07-29 22:53:10+01:00,60.8
2015-07-29 22:52:10+01:00,67.9
2015-07-29 22:51:10+01:00,65.9
2015-07-29 22:50:10+01:00,63.4
2015-07-29 22:49:10+01:00,63.9
2015-07-29 22:48:10+01:00,56.9
2015-07-29 22:47:10+01:00,72.3
2015-07-29 22:46:10+01:00,69.4
2015-07-29 22:45:10+01:00,57.6
2015-07-29 22:44:10+01:00,62.6
2015-07-29 22:43:10+01:00,67.0
2015-07-29 22:42:10+01:00,56.9
2015-07-29 22:41:10+01:00,70.0
2015-07-29 22:40:10+01:00,64.3
2015-07-29 22:39:10+01:00,63.9
2015-07-29 22:38:10+01:00,63.6
2015-07-29 22:37:10+01:00,68.3
2015-07-29 22:36:10+01:00,64.9
2015-07-29 22:35:10+01:00,62.8
2015-07-29 22:34:10+01:00,57.6
2015-07-29 22:33:10+01:00,62.7
2015-07-29 22:32:10+01:00,66.0
2015-07-29 22:31:10+01:00,64.8
2015-07-29 22:30:10+01:00,70.1
2015-07-29 22:29:10+01:00,68.5
2015-07-29 22:28:10+01:00,68.5
2015-07-29 22:27:10+01:00,67.9
2015-07-29 22:26:10+01:00,65.8
2015-07-29 22:25:10+01:00,63.4
2015-07-29 22:24:10+01:00,62.5
2015-07-29 22:23:10+01:00,68.2
2015-07-29 22:22:10+01:00,50.3
2015-07-29 22:21:10+01:00,64.2
2015-07-29 22:20:10+01:00,62.9
2015-07-29 22:19:10+01:00,62.3
2015-07-29 22:18:10+01:00,67.8
2015-07-29 22:17:10+01:00,67.2
2015-07-29 22:16:10+01:00,68.6
2015-07-29 22:15:10+01:00,61.9
2015-07-29 22:14:10+01:00,61.8
2015-07-29 22:13:10+01:00,65.0
2015-07-29 22:12:10+01:00,68.4
2015-07-29 22:11:10+01:00,72.0
2015-07-29 22:10:10+01:00,67.4
2015-07-29 22:09:10+01:00,71.3
2015-07-29 22:08:10+01:00,63.8
2015-07-29 22:07:10+01:00,67.7
2015-07-29 22:06:10+01:00,72.2
2015-07-29 22:05:10+01:00,66.9
2015-07-29 22:04:10+01:00,70.1
2015-07-29 22:03:10+01:00,65.5
2015-07-29 22:02:10+01:00,73.3
2015-07-29 22:01:10+01:00,67.5
2015-07-29 22:00:10+01:00,65.7
2015-07-29 21:59:10+01:00,71.8
2015-07-29 21:58:10+01:00,61.6
2015-07-29 21:57:10+01:00,68.4
2015-07-29 21:56:10+01:00,70.2
2015-07-29 21:55:10+01:00,61.2
2015-07-29 21:54:10+01:00,63.9
2015-07-29 21:53:10+01:00,71.2
2015-07-29 21:52:10+01:00,62.7
2015-07-29 21:51:10+01:00,70.7
2015-07-29 21:50:10+01:00,60.5
2015-07-29 21:49:10+01:00,62.4
2015-07-29 21:48:10+01:00,68.2
2015-07-29 21:47:10+01:00,63.6
2015-07-29 21:46:10+01:00,65.8
2015-07-29 21:45:10+01:00,64.5
2015-07-29 21:44:10+01:00,66.6
2015-07-29 21:43:10+01:00,63.6
2015-07-29 21:42:10+01:00,66.6
2015-07-29 21:41:10+01:00,62.2
2015-07-29 21:40:10+01:00,61.3
2015-07-29 21:39:10+01:00,59.9
2015-07-29 21:38:10+01:00,67.8
2015-07-29 21:37:10+01:00,68.8
2015-07-29 21:36:10+01:00,68.1
2015-07-29 21:35:10+01:00,69.7
2015-07-29 21:34:10+01:00,62.9
2015-07-29 21:33:10+01:00,66.1
2015-07-29 21:32:10+01:00,66.4
2015-07-29 21:31:10+01:00,71.7
2015-07-29 21:30:10+01:00,59.9
2015-07-29 21:29:10+01:00,54.2
2015-07-29 21:28:10+01:00,69.2
2015-07-29 21:27:10+01:00,63.0
2015-07-29 21:26:10+01:00,68.8
2015-07-29 21:25:10+01:00,62.5
2015-07-29 21:24:10+01:00,61.1
2015-07-29 21:23:10+01:00,68.7
2015-07-29 21:22:10+01:00,62.3
2015-07-29 21:21:10+01:00,71.0
2015-07-29 21:20:10+01:00,69.7
2015-07-29 21:19:10+01:00,64.9
2015-07-29 21:18:10+01:00,65.1
2015-07-29 21:17:10+01:00,68.1
2015-07-29 21:16:10+01:00,66.6
2015-07-29 21:15:10+01:00,61.8
2015-07-29 21:14:10+01:00,62.5
2015-07-29 21:13:10+01:00,66.8
2015-07-29 21:12:10+01:00,71.0
2015-07-29 21:11:10+01:00,60.6
2015-07-29 21:10:10+01:00,64.5
2015-07-29 21:09:10+01:00,64.7
2015-07-29 21:08:10+01:00,67.3
2015-07-29 21:07:10+01:00,64.2
2015-07-29 21:06:10+01:00,62.5
2015-07-29 21:05:10+01:00,65.5
2015-07-29 21:04:10+01:00,68.6
2015-07-29 21:03:10+01:00,65.0
2015-07-29 21:02:10+01:00,69.8
2015-07-29 21:01:10+01:00,66.7
2015-07-29 21:00:10+01:00,72.3
2015-07-29 20:59:10+01:00,66.6
2015-07-29 20:58:10+01:00,68.0
2015-07-29 20:57:10+01:00,64.6
2015-07-29 20:56:10+01:00,62.8
2015-07-29 20:55:10+01:00,69.4
2015-07-29 20:54:10+01:00,66.4
2015-07-29 20:53:10+01:00,62.8
2015-07-29 20:52:10+01:00,66.3
2015-07-29 20:51:10+01:00,64.3
2015-07-29 20:50:10+01:00,65.0
2015-07-29 20:49:10+01:00,63.8
2015-07-29 20:48:10+01:00,69.9
2015-07-29 20:47:10+01:00,58.7
2015-07-29 20:46:10+01:00,65.4
