Location description: Candido dos Reis
ID: 268
Sensor: Noise
Datetime,dB
2015-07-29 16:54:59+01:00,30.6
2015-07-29 16:53:59+01:00,30.6
2015-07-29 16:52:59+01:00,30.6
2015-07-29 16:51:59+01:00,30.6
2015-07-29 16:50:59+01:00,30.6
2015-07-29 16:49:59+01:00,30.6
