Datetime,Degrees
2015-05-26 15:30:09+01:00,255
2015-05-26 15:29:09+01:00,255
2015-05-26 15:28:09+01:00,255
2015-05-26 15:27:09+01:00,255
2015-05-26 15:26:09+01:00,255
2015-05-26 15:25:09+01:00,255
2015-05-26 15:24:09+01:00,255
2015-05-26 15:23:09+01:00,255
2015-05-26 15:22:09+01:00,255
2015-05-26 15:21:09+01:00,255
2015-05-26 15:20:09+01:00,255
2015-05-26 15:19:09+01:00,255
2015-05-26 15:18:09+01:00,255
2015-05-26 15:17:09+01:00,255
2015-05-26 15:16:09+01:00,255
2015-05-26 15:15:09+01:00,255
2015-05-26 15:14:09+01:00,255
2015-05-26 15:13:09+01:00,255
2015-05-26 15:12:09+01:00,255
2015-05-26 15:11:09+01:00,255
2015-05-26 15:09:09+01:00,255
2015-05-26 15:08:09+01:00,255
2015-05-26 15:07:09+01:00,255
2015-05-26 15:06:09+01:00,255
2015-05-26 15:05:09+01:00,255
2015-05-26 14:11:23+01:00,315
2015-05-26 14:10:23+01:00,315
2015-05-26 14:09:23+01:00,270
2015-05-26 14:08:23+01:00,315
2015-05-26 14:07:23+01:00,315
2015-05-26 14:06:23+01:00,315
2015-05-26 14:05:23+01:00,315
2015-05-26 14:03:23+01:00,315
2015-05-26 14:02:23+01:00,315
2015-05-26 14:01:23+01:00,315
2015-05-26 14:00:23+01:00,315
2015-05-26 13:59:23+01:00,315
2015-05-26 13:58:23+01:00,315
2015-05-26 13:57:23+01:00,315
2015-05-26 13:56:23+01:00,315
2015-05-26 13:55:23+01:00,315
2015-05-26 13:54:23+01:00,315
2015-05-26 13:53:23+01:00,315
2015-05-26 13:52:23+01:00,0
2015-05-26 13:51:23+01:00,315
2015-05-26 13:50:23+01:00,315
2015-05-26 13:49:23+01:00,315
2015-05-26 13:48:23+01:00,315
2015-05-26 13:47:23+01:00,315
2015-05-26 13:46:23+01:00,315
2015-05-26 13:45:23+01:00,315
2015-05-26 13:44:23+01:00,315
2015-05-26 13:43:23+01:00,315
2015-05-26 13:42:23+01:00,315
2015-05-26 13:41:23+01:00,315
2015-05-26 13:40:23+01:00,315
2015-05-26 13:39:23+01:00,315
2015-05-26 13:38:23+01:00,315
2015-05-26 13:37:23+01:00,315
2015-05-26 13:35:23+01:00,315
2015-05-26 13:34:23+01:00,315
2015-05-26 13:33:23+01:00,315
2015-05-26 13:32:23+01:00,315
2015-05-26 13:31:23+01:00,315
2015-05-26 13:30:23+01:00,315
2015-05-26 13:29:23+01:00,270
2015-05-26 13:28:23+01:00,315
2015-05-26 13:27:23+01:00,315
2015-05-26 13:27:18+01:00,45
2015-05-26 13:26:23+01:00,315
2015-05-26 13:26:18+01:00,45
2015-05-26 13:25:23+01:00,315
2015-05-26 13:25:18+01:00,45
2015-05-26 13:24:23+01:00,315
2015-05-26 13:24:18+01:00,45
2015-05-26 13:23:23+01:00,315
2015-05-26 13:23:18+01:00,45
2015-05-26 13:22:23+01:00,315
2015-05-26 13:22:18+01:00,315
2015-05-26 13:21:23+01:00,315
2015-05-26 13:21:18+01:00,315
2015-05-26 13:20:24+01:00,315
2015-05-26 13:20:23+01:00,315
2015-05-26 13:19:24+01:00,315
2015-05-26 13:19:23+01:00,315
2015-05-26 13:18:24+01:00,315
2015-05-26 13:18:23+01:00,315
2015-05-26 13:17:23+01:00,315
2015-05-26 13:16:23+01:00,315
2015-05-26 13:15:23+01:00,315
2015-05-26 13:14:23+01:00,315
2015-05-26 13:13:23+01:00,315
2015-05-26 13:12:23+01:00,315
2015-05-26 13:11:23+01:00,315
2015-05-26 13:10:23+01:00,315
2015-05-26 13:08:23+01:00,315
2015-05-26 13:07:23+01:00,315
2015-05-26 13:06:23+01:00,315
2015-05-26 13:05:23+01:00,315
2015-05-26 13:04:23+01:00,315
2015-05-26 13:03:23+01:00,315
2015-05-26 13:02:23+01:00,315
2015-05-26 13:01:23+01:00,315
2015-05-26 13:00:23+01:00,315
2015-05-26 12:59:23+01:00,315
2015-05-26 12:58:23+01:00,315
2015-05-26 12:56:23+01:00,315
2015-05-26 12:55:23+01:00,315
2015-05-26 12:54:23+01:00,315
2015-05-26 12:53:23+01:00,315
2015-05-26 12:52:23+01:00,315
2015-05-26 12:51:23+01:00,315
2015-05-26 12:50:23+01:00,315
2015-05-26 12:49:23+01:00,315
2015-05-26 12:48:23+01:00,315
2015-05-26 12:47:23+01:00,315
2015-05-26 12:46:23+01:00,315
2015-05-26 12:45:23+01:00,315
2015-05-26 12:44:23+01:00,315
2015-05-26 12:43:23+01:00,315
2015-05-26 12:42:23+01:00,315
2015-05-26 12:41:23+01:00,315
2015-05-26 12:40:23+01:00,315
2015-05-26 12:39:23+01:00,315
2015-05-26 12:38:23+01:00,315
2015-05-26 12:37:23+01:00,315
2015-05-26 12:36:23+01:00,315
2015-05-26 12:35:23+01:00,315
2015-05-26 12:34:23+01:00,315
2015-05-26 12:33:23+01:00,270
2015-05-26 12:32:23+01:00,315
2015-05-26 12:31:23+01:00,315
2015-05-26 12:30:23+01:00,315
2015-05-26 12:29:23+01:00,315
2015-05-26 12:28:23+01:00,315
2015-05-26 12:27:23+01:00,315
2015-05-26 12:26:23+01:00,315
2015-05-26 12:25:23+01:00,315
2015-05-26 12:24:23+01:00,315
2015-05-26 12:23:23+01:00,270
2015-05-26 12:22:23+01:00,315
2015-05-26 12:21:23+01:00,315
2015-05-26 12:20:23+01:00,315
2015-05-26 12:19:23+01:00,315
2015-05-26 12:18:23+01:00,315
2015-05-26 12:17:23+01:00,315
2015-05-26 12:16:23+01:00,315
2015-05-26 12:15:23+01:00,315
2015-05-26 12:14:23+01:00,315
2015-05-26 12:13:23+01:00,315
2015-05-26 12:12:23+01:00,315
2015-05-26 12:11:23+01:00,315
2015-05-26 12:10:23+01:00,315
2015-05-26 12:09:23+01:00,315
2015-05-26 12:08:23+01:00,315
2015-05-26 12:07:23+01:00,315
2015-05-26 12:06:23+01:00,315
2015-05-26 12:05:23+01:00,315
2015-05-26 12:03:23+01:00,315
2015-05-26 12:02:23+01:00,315
2015-05-26 12:01:23+01:00,315
2015-05-26 12:00:23+01:00,315
2015-05-26 11:59:23+01:00,270
2015-05-26 11:58:23+01:00,270
2015-05-26 11:57:23+01:00,315
2015-05-26 11:56:23+01:00,315
2015-05-26 11:55:23+01:00,315
2015-05-26 11:54:23+01:00,315
2015-05-26 11:53:23+01:00,315
2015-05-26 11:52:23+01:00,315
2015-05-26 11:51:23+01:00,315
2015-05-26 11:50:23+01:00,315
2015-05-26 11:49:23+01:00,315
2015-05-26 11:48:23+01:00,315
2015-05-26 11:47:23+01:00,315
2015-05-26 11:46:23+01:00,315
2015-05-26 11:45:23+01:00,315
2015-05-26 11:44:23+01:00,315
2015-05-26 11:43:23+01:00,315
2015-05-26 11:42:23+01:00,315
2015-05-26 11:41:23+01:00,315
2015-05-26 11:40:23+01:00,315
2015-05-26 11:39:23+01:00,315
2015-05-26 11:38:23+01:00,315
2015-05-26 11:37:23+01:00,315
2015-05-26 11:36:23+01:00,315
2015-05-26 11:35:23+01:00,315
2015-05-26 11:34:23+01:00,315
2015-05-26 11:33:23+01:00,315
2015-05-26 11:32:23+01:00,315
2015-05-26 11:31:23+01:00,315
2015-05-26 11:30:23+01:00,315
2015-05-26 11:29:23+01:00,315
2015-05-26 11:28:23+01:00,315
2015-05-26 11:27:23+01:00,315
2015-05-26 11:26:23+01:00,315
2015-05-26 11:25:23+01:00,315
2015-05-26 11:24:23+01:00,0
2015-05-26 11:23:23+01:00,0
2015-05-26 11:22:23+01:00,0
2015-05-26 11:21:23+01:00,0
2015-05-26 11:20:23+01:00,0
2015-05-26 11:19:23+01:00,0
2015-05-26 11:18:23+01:00,315
2015-05-26 11:17:23+01:00,315
2015-05-26 11:16:23+01:00,315
2015-05-26 11:15:23+01:00,315
2015-05-26 11:14:23+01:00,315
2015-05-26 11:13:23+01:00,315
2015-05-26 11:12:23+01:00,45
2015-05-26 11:11:23+01:00,45
2015-05-26 11:10:23+01:00,45
2015-05-26 11:09:23+01:00,45
2015-05-26 11:08:23+01:00,45
2015-05-26 11:07:23+01:00,45
2015-05-26 11:06:23+01:00,45
2015-05-26 11:05:23+01:00,45
2015-05-26 11:04:23+01:00,45
2015-05-26 11:03:23+01:00,45
2015-05-26 11:02:23+01:00,45
2015-05-26 11:01:23+01:00,45
2015-05-26 11:00:23+01:00,270
2015-05-26 10:59:23+01:00,270
2015-05-26 10:58:23+01:00,270
2015-05-26 10:57:23+01:00,270
2015-05-26 10:56:23+01:00,270
2015-05-26 10:55:23+01:00,270
2015-05-26 10:54:23+01:00,270
2015-05-26 10:53:23+01:00,270
2015-05-26 10:52:23+01:00,270
2015-05-26 10:51:23+01:00,270
2015-05-26 10:50:23+01:00,270
2015-05-26 10:49:23+01:00,270
2015-05-26 10:48:23+01:00,270
2015-05-26 10:47:23+01:00,270
2015-05-26 10:46:23+01:00,270
2015-05-26 10:44:23+01:00,270
2015-05-26 10:43:23+01:00,270
2015-05-26 10:42:23+01:00,270
2015-05-26 10:41:23+01:00,270
2015-05-26 10:40:23+01:00,315
2015-05-26 10:39:23+01:00,315
2015-05-26 10:38:23+01:00,270
2015-05-26 10:37:23+01:00,270
2015-05-26 10:36:23+01:00,270
2015-05-26 10:35:23+01:00,270
2015-05-26 10:34:23+01:00,270
2015-05-26 10:33:23+01:00,270
2015-05-26 10:32:23+01:00,270
2015-05-26 10:31:23+01:00,270
2015-05-26 10:30:23+01:00,270
2015-05-26 10:29:23+01:00,270
2015-05-26 10:28:23+01:00,315
2015-05-26 10:27:23+01:00,270
2015-05-26 10:26:23+01:00,270
2015-05-26 10:25:23+01:00,270
2015-05-26 10:24:23+01:00,270
2015-05-26 10:23:23+01:00,270
2015-05-26 10:22:23+01:00,270
2015-05-26 10:21:23+01:00,270
2015-05-26 10:20:23+01:00,270
2015-05-26 10:19:23+01:00,270
2015-05-26 10:18:23+01:00,315
2015-05-26 10:17:23+01:00,270
2015-05-26 10:16:23+01:00,270
2015-05-26 10:15:23+01:00,270
2015-05-26 10:14:23+01:00,270
2015-05-26 10:13:23+01:00,315
2015-05-26 10:12:23+01:00,270
2015-05-26 10:11:23+01:00,315
2015-05-26 10:10:23+01:00,270
2015-05-26 10:09:23+01:00,270
2015-05-26 10:08:23+01:00,270
2015-05-26 10:07:23+01:00,270
2015-05-26 10:06:23+01:00,315
2015-05-26 10:05:23+01:00,270
2015-05-26 10:04:23+01:00,270
2015-05-26 10:03:23+01:00,270
2015-05-26 10:02:23+01:00,270
2015-05-26 10:01:23+01:00,315
2015-05-26 10:00:23+01:00,270
2015-05-26 09:59:23+01:00,270
2015-05-26 09:58:23+01:00,270
2015-05-26 09:57:23+01:00,270
2015-05-26 09:56:23+01:00,270
2015-05-26 09:55:23+01:00,315
2015-05-26 09:54:23+01:00,315
2015-05-26 09:53:23+01:00,270
2015-05-26 09:52:23+01:00,270
2015-05-26 09:51:23+01:00,315
